CO,NO2,O3,SO2,PM2.5,PM10,City
226.97,1.46,63.66,0.11,2.07,2.49,Frederick
166.89,0.98,118.73,1.49,5.18,8.35,Vacaville
233.65,2.66,240.33,7.45,28.2,34.9,Chino
226.97,7.45,220.3,11.09,19.28,29.97,Anaheim
236.99,0.83,55.79,0.9,2.69,3.27,Laredo
253.68,1.11,104.43,0.65,5.77,5.85,Flint
180.24,2.74,107.29,2.47,7.84,16.55,El Cajon
253.68,1.59,86.55,0.48,4.33,4.5,Lorain
216.96,2.31,51.5,0.46,0.72,1.05,Johns Creek
216.96,3.38,98.71,0.92,4.55,4.91,Cicero
185.25,0.62,70.1,0.37,3.11,9.24,Rio Rancho
220.3,3.21,60.8,1.31,0.89,1.09,Atlanta
181.91,2.21,95.84,0.64,6.24,10.52,Waterbury
171.9,1.61,101.57,0.32,2.03,2.25,Concord
173.57,1.63,79.39,1.12,2.77,3.52,Marysville
168.56,0.64,79.39,1.13,3.53,5.89,South San Francisco
168.56,4.2,73.67,0.83,1.54,2.19,Portsmouth
191.93,2.96,97.28,0.89,7.43,15.82,Norwalk
236.99,6.17,237.47,9.78,24.96,34.3,Alhambra
183.58,4.5,117.3,4.47,6.65,14.34,Carson
186.92,3.98,73.67,2.47,5.45,6.66,Everett
165.22,1.24,118.73,1.1,3.13,4.29,Citrus Heights
247.0,0.65,80.11,0.55,4.64,4.94,Decatur
247.0,2.46,97.28,0.81,5.49,6.86,North Little Rock
236.99,3.77,70.1,2.71,4.69,8.22,Atascocita
257.02,3.09,67.23,0.55,4.09,4.15,Erie
181.91,1.76,161.65,1.37,8.45,9.77,Fresno
220.3,5.91,70.81,3.07,6.09,6.39,Jacksonville
247.0,1.61,82.25,0.26,1.77,1.93,High Point
233.65,1.31,44.7,0.45,4.08,8.18,Pearland
233.65,0.92,36.12,0.7,3.99,8.36,Brownsville
223.64,1.16,75.82,0.4,2.33,2.96,Denton
160.22,0.57,65.8,0.11,1.83,2.31,Waterloo
226.97,2.66,214.58,4.23,20.94,26.03,San Bernardino
233.65,2.12,43.27,0.4,0.97,1.59,Mesquite
153.54,0.36,42.92,0.02,0.5,0.52,Sioux Falls
196.93,1.54,76.53,0.57,4.9,6.46,Charleston
161.89,1.04,76.53,1.01,3.13,5.88,Redwood City
181.91,1.36,128.75,0.45,1.91,4.11,Paradise
233.65,2.66,240.33,7.45,28.2,34.9,Upland
220.3,11.31,88.69,2.68,7.43,16.21,Paterson
151.87,0.47,83.69,0.09,1.64,2.17,Pasco
191.93,0.61,77.25,0.15,3.32,5.21,Lubbock
183.58,3.77,98.71,2.53,3.95,7.3,Oakland
198.6,4.28,79.39,1.0,5.06,5.33,Schenectady
166.89,1.46,83.69,0.4,3.11,5.07,Worcester
236.99,0.53,45.42,0.14,1.15,1.49,Cedar Park
253.68,6.77,57.22,1.51,3.49,4.46,Pembroke Pines
250.34,4.24,266.08,10.97,32.44,41.89,West Covina
210.29,0.64,77.96,0.2,2.59,3.25,Edmond
198.6,1.56,52.21,0.5,1.36,1.52,Columbia
216.96,1.71,69.38,0.13,0.56,0.86,Raleigh
183.58,4.5,117.3,4.47,6.65,14.34,Compton
216.96,3.21,97.28,0.51,4.68,4.94,Evanston
196.93,0.43,75.82,0.33,3.26,5.95,Amarillo
226.97,1.91,50.78,0.32,1.42,1.73,Chesapeake
191.93,4.16,174.52,4.59,10.1,16.14,Glendale
